ORF,max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
YAL058W,3290,623,502,1590,4498
YAL059C-A,68,-2,-2,-2,-2
YAL059W,1140,6251,3671,2944,1869
YAL060W,70,2458,4219,4127,4793
YAL061W,69,2459,2633,4740,4709
YAL062W,950,6492,995,3778,6132
YAL063C,3227,691,5515,2674,5101
YAL063C-A,6373,-2,-2,-2,-2
YAL064C-A,4239,5555,5767,4065,6438
YAL064W,2995,5101,2994,6302,4836
YAL064W-B,2995,5101,2994,6302,4836
YAL065C,2994,2993,1909,6019,2500
YAL066W,5285,5129,5210,5304,3397
YAL067C,132,4069,5725,168,5605
YAL067W-A,4065,4154,-2,-2,-2
YAL068C,2362,2738,579,764,5548
YAL068W-A,83,6288,2356,5705,3784
YAL069W,82,1619,3661,5463,5549
YAR002C-A,2299,4613,5,165,2670
YAR002W,4450,5836,2492,3175,3735
YAR003W,3681,1541,6299,2887,4097
YAR007C,4634,344,4958,473,875
YAR008W,4813,6241,4189,5660,533
YAR009C,599,1373,4804,3523,4642
YAR010C,89,5006,6477,3304,2104
YAR014C,2931,2622,3187,1876,1447
YAR015W,2334,4476,4878,5867,1478
YAR018C,424,4748,6578,6579,2479
YAR019C,4670,2056,3129,4809,2463
YAR019W-A,94,-2,-2,-2,-2
YAR020C,1976,764,5109,3491,3204
YAR023C,997,4074,2649,2279,4341
YAR027W,6176,99,102,4148,3850
YAR028W,100,98,103,102,4148
YAR029W,99,101,2840,5252,3881
YAR030C,100,102,98,99,-2
YAR031W,801,101,99,4959,98
YAR033W,2146,99,102,3850,5069
YAR035C-A,4065,3709,-2,-2,-2
YAR035W,1743,4644,5838,1934,62
YAR042W,1863,2974,1637,3060,784
YAR047C,956,5101,1073,5102,3432
YAR050W,3227,1851,3190,3766,4928
YAR053W,116,4436,271,3201,3488
YAR060C,75,2993,-2,-2,-2
YAR064W,113,118,115,6447,2024
YAR066W,2894,5852,-2,-2,-2
YAR068W,3001,3002,3196,111,5715
YAR069C,-2,-2,-2,-2,-2
YAR070C,2997,2024,2023,2737,3005
YAR071W,350,3003,4735,6175,2906
YAR073W,118,3004,4557,4988,162
YAR075W,117,4557,4988,3004,6424
YBL001C,324,134,169,408,212
YBL002W,5561,258,5142,121,5141
YBL003C,258,5142,120,5141,257
YBL004W,5559,6606,5000,6381,6286
YBL005W,5894,1042,3698,5906,2953
YBL005W-A,2481,5006,297,2435,3654
YBL005W-B,3698,3196,2292,5006,1578
YBL006C,1359,677,2814,4847,2661
YBL006W-A,126,-2,-2,-2,-2
YBL007C,5925,5199,172,746,5366
YBL008W,3375,3637,486,5774,4984
YBL008W-A,4065,1423,2301,6475,-2
YBL009W,6373,5003,96,1386,5593
YBL010C,18,168,433,79,2309
YBL011W,5919,823,4929,3991,6601
YBL012C,324,169,408,119,212
YBL013W,2649,2553,339,1478,5985
YBL014C,4645,3280,4226,5044,3797
YBL015W,4240,62,5235,6131,1803
YBL016W,5165,3422,1142,936,2851
YBL017C,3310,3418,5075,2760,5871
YBL018C,2396,533,36,432,5344
YBL019W,3786,5596,4622,13,4666
YBL020W,5160,2161,368,1554,2004
YBL021C,2337,6115,3781,87,3459
YBL022C,4366,500,3514,4657,2304
YBL023C,5396,6595,5385,4187,3176
YBL024W,634,981,314,1161,6061
YBL025W,5044,4226,6044,136,4645
YBL026W,5042,5900,4652,6552,1894
YBL027W,904,2244,4111,846,298
YBL028C,5228,2123,2808,1869,6375
YBL029C-A,3825,1002,2542,5971,152
YBL029W,5770,5971,2542,2464,3025
YBL030C,3617,5198,3572,229,170
YBL031W,31,392,3802,2202,2895
YBL032W,3862,1567,31,2543,2905
YBL033C,417,532,1558,5703,2652
YBL034C,1733,4128,5794,1695,6603
YBL035C,3710,5385,6648,3214,875
YBL036C,3975,5370,1742,162,2568
YBL037W,3553,3499,5616,2305,3807
YBL038W,5891,3321,707,5115,5408
YBL039C,4988,6465,1140,6096,4890
YBL039C-A,162,-2,-2,-2,-2
YBL039W-B,2549,3109,1646,3732,2394
YBL040C,2670,4613,3290,6166,84
YBL041W,3258,4699,6009,2777,1739
YBL042C,3319,4122,1781,2505,159
YBL043W,132,5002,6544,79,1707
YBL044W,4408,1266,6484,3254,324
YBL045C,5801,6664,2064,2807,3431
YBL046W,5324,1111,6313,910,818
YBL047C,940,160,128,5366,2626
YBL048W,174,6077,2019,2742,4561
YBL049W,619,173,2327,4277,3117
YBL050W,4968,334,5844,5569,2311
YBL051C,4815,3587,944,6315,5842
YBL052C,6488,5800,3576,2637,6289
YBL053W,6635,-2,-2,-2,-2
YBL054W,5456,1825,543,3104,834
YBL055C,835,5241,3722,1865,589
YBL056W,3531,1828,1548,4051,336
YBL057C,2967,5052,4802,1683,1623
YBL058W,900,4614,4517,3888,4821
YBL059C-A,3872,2395,5148,4417,1442
YBL059W,2507,3622,2326,530,2152
YBL060W,429,5832,5868,3526,6553
YBL061C,273,5356,4445,2914,3359
YBL062W,1439,2823,3088,-2,-2
YBL063W,5794,6603,4748,6317,6373
YBL064C,1585,4193,2874,3754,2756
YBL065W,192,568,3379,197,6146
YBL066C,191,1639,148,1892,4323
YBL067C,5644,4051,4270,3996,3174
YBL068W,3857,1841,5615,5078,369
YBL068W-A,1227,276,3252,898,4740
YBL069W,2101,276,3745,682,3252
YBL070C,3379,568,191,6146,4869
YBL071C,667,2815,6596,3841,4912
YBL071C-B,4065,3509,832,2216,-2
YBL071W-A,3868,3125,4275,21,4228
YBL072C,846,298,446,6560,1804
YBL073W,203,384,4718,-2,-2
YBL074C,3849,1926,2938,2929,1748
YBL075C,5117,6405,5177,4038,5761
YBL076C,2768,380,2345,2649,6322
YBL077W,205,2823,1599,6361,2198
YBL078C,2945,5346,6280,4346,6310
YBL079W,3295,4714,2027,4915,890
YBL080C,5070,2473,681,5912,2767
YBL081W,946,3296,6479,266,6500
YBL082C,5342,5732,2611,5499,5160
YBL083C,211,869,4612,324,134
YBL084C,2212,4212,777,3685,2340
YBL085W,469,5933,48,1856,6476
YBL086C,4980,895,6549,5331,1865
YBL087C,846,298,446,6560,1804
YBL088C,4995,5735,5373,1268,6315
YBL089W,3494,322,3940,6478,1201
YBL090W,526,3113,2689,1077,410
YBL091C,4350,5825,342,5829,1863
YBL091C-A,5825,342,1863,1957,27
YBL092W,846,298,446,6560,1804
YBL093C,5695,5918,1740,2475,1364
YBL094C,225,3790,1198,6220,4453
YBL095W,224,2385,4992,3294,1154
YBL096C,224,4720,-2,-2,-2
YBL097W,4381,4169,2059,1386,5203
YBL098W,4337,3520,3317,1498,2645
YBL099W,3678,6477,6236,772,3617
YBL100C,229,3328,-2,-2,-2
YBL100W-A,5006,297,2435,3654,6192
YBL100W-B,5006,4270,4051,1180,3996
YBL100W-C,3136,4065,5881,3913,4471
YBL101C,1868,5863,6075,3344,3921
YBL102W,4108,3667,4377,2722,6328
YBL103C,5621,5191,2352,1933,1138
YBL104C,2196,3635,5698,1169,4311
YBL105C,6635,4335,5738,4873,5658
YBL106C,2373,6397,2773,3142,4951
YBL107C,5017,3718,5542,1944,5565
YBL107W-A,4065,-2,-2,-2,-2
YBL108C-A,-2,-2,-2,-2,-2
YBL108W,1619,3574,4715,4774,2744
YBL109W,1619,3900,247,245,1708
YBL111C,247,248,244,4081,2021
YBL112C,-2,-2,-2,-2,-2
YBL113C,245,244,248,4081,2744
YBL113W-A,245,247,244,6288,3784
YBR001C,6483,1110,386,5035,1031
YBR002C,973,3432,6227,3682,863
YBR003W,5512,5653,2640,2215,1251
YBR004C,2239,3508,3840,633,5280
YBR005W,308,5567,6144,4297,4539
YBR006W,2383,5023,3861,949,5468
YBR007C,1704,770,5544,699,3696
YBR008C,4605,4727,5526,-2,4072
YBR009C,258,5142,121,120,5141
YBR010W,3375,5142,121,120,5141
YBR011C,2776,6399,1655,5041,4312
YBR012C,6366,6385,-2,-2,-2
YBR012W-A,5006,4270,4051,1180,3996
YBR012W-B,5006,3853,4588,4078,247
YBR013C,4859,3800,3804,272,4858
YBR014C,4484,615,6216,1135,6249
YBR015C,6207,1296,1667,3570,3448
YBR016W,781,1259,1070,5561,210
YBR017C,6331,1852,5089,2218,2341
YBR018C,269,1040,270,2700,4164
YBR019C,1040,268,270,4164,3700
YBR020W,269,268,4164,6413,1649
YBR021W,3940,1868,6023,6053,6052
YBR022W,121,1276,119,324,134
YBR023C,3359,4445,2914,187,876
YBR024W,4019,6292,1888,6334,6703
YBR025C,2942,5151,3749,4699,4010
YBR026C,3869,4740,386,326,4038
YBR027C,4470,4065,5782,-2,-2
YBR028C,6248,446,3561,3878,2964
YBR029C,6572,1745,823,585,2416
YBR030W,1245,6372,1309,2913,4222
YBR031W,846,298,446,6560,4879
YBR032W,1023,408,4065,1208,1841
YBR033W,371,4724,1118,741,5621
YBR034C,783,2220,5230,1537,1567
YBR035C,5496,1657,6586,6645,1025
YBR036C,6214,1108,3665,425,5046
YBR037C,6292,4019,1888,4029,6334
YBR038W,891,4784,5274,876,2773
YBR039W,3678,6236,772,3617,6440
YBR040W,4649,747,607,3053,5403
YBR041W,2304,6070,3909,4393,5020
YBR042C,6602,5919,133,823,5993
YBR043C,2381,2608,1159,685,6215
YBR044C,5753,3290,919,4984,5625
YBR045C,1876,1779,5922,3870,412
YBR046C,297,6113,4743,1141,324
YBR047W,2213,296,1930,2799,1289
YBR048W,846,446,6560,1804,3643
YBR049C,1359,3784,1086,4279,6240
YBR050C,1876,5922,3870,295,1779
YBR051W,300,-2,-2,-2,-2
YBR052C,1064,658,2291,1837,5120
YBR053C,307,413,2872,402,1064
YBR054W,5282,6463,2263,2513,1065
YBR055C,5900,4652,1894,813,3517
YBR056C-B,308,1070,5100,253,4539
YBR056W,5100,306,1070,386,303
YBR056W-A,5100,306,1070,4539,4297
YBR057C,2290,5319,2130,3931,313
YBR058C,4051,1098,5074,3996,2036
YBR058C-A,1098,5074,4467,2408,3887
YBR059C,3212,5616,128,172,360
YBR060C,4187,3176,473,4013,4671
YBR061C,6345,5033,146,1161,5175
YBR062C,5361,4270,4051,1180,3996
YBR063C,317,4065,3419,1434,2628
YBR064W,316,3424,6070,-2,-2
YBR065C,3849,1729,4201,4984,721
YBR066C,1548,2355,1746,3227,337
YBR067C,2194,2924,5381,5814,4567
YBR068C,597,2102,4865,5222,4472
YBR069C,218,193,3995,2114,873
YBR070C,2142,518,368,5160,6656
YBR071W,134,169,408,119,212
YBR072C-A,2495,3303,448,1619,244
YBR072W,4038,1845,434,5761,5117
YBR073W,1837,4634,1935,1035,399
YBR074W,562,3698,3875,5868,4003
YBR076C-A,330,-2,-2,-2,-2
YBR076W,329,4792,2529,3779,5830
YBR077C,3907,4733,2544,733,2964
YBR078W,5088,4457,5582,3319,6247
YBR079C,1499,3501,5090,1744,6118
YBR080C,175,4108,3873,4968,1205
YBR081C,1461,591,2162,5708,1219
YBR082C,4051,3885,1868,1798,970
YBR083W,2851,6206,1868,2410,138
YBR084C-A,846,298,446,6560,1804
YBR084W,5989,1051,4141,539,135
YBR085C-A,4281,4740,1777,6621,6622
YBR085W,3617,3542,1670,153,3137
YBR086C,1863,3802,5825,221,4678
YBR087W,3563,344,5651,5965,5416
YBR088C,724,5385,87,3563,5651
YBR089C-A,4675,2306,6510,6240,6491
YBR089W,344,343,2166,-2,-2
YBR090C,4065,1909,345,-2,-2
YBR091C,2564,1648,3632,3311,997
YBR092C,5884,6378,3003,532,815
YBR093C,116,3003,5884,1552,4735
YBR094W,355,533,2097,1639,5911
YBR095C,847,6300,3104,6343,5212
YBR096W,4065,3055,5423,3954,3094
YBR097W,925,6280,4346,5476,2049
YBR098W,1455,4958,4340,1762,4220
YBR099C,355,5450,1962,641,1173
YBR101C,5117,5761,4038,6265,6405
YBR102C,1724,3087,1207,4269,3345
YBR103C-A,-2,-2,-2,-2,-2
YBR103W,692,2292,3929,3135,1196
YBR104W,2402,6093,5970,5013,1780
YBR105C,3029,4894,2327,3117,1307
YBR106W,4148,1232,3377,5482,696
YBR107C,1306,4501,6174,6504,1376
YBR108W,663,1017,1457,2764,5925
YBR109C,1998,2097,4558,2601,5567
YBR109W-A,-2,-2,-2,-2,-2
YBR110W,2161,323,2142,5160,6656
YBR111C,5615,3857,1841,2699,194
YBR111W-A,1200,6204,6005,2162,4994
YBR112C,741,5290,5142,5561,3703
YBR113W,5789,6344,3465,5019,2565
YBR114W,3547,1668,1915,2643,1925
YBR115C,2251,2120,5521,1285,597
YBR116C,376,4933,6388,1003,2413
YBR117C,2413,4471,375,2641,3381
YBR118W,2,3749,4873,6205,6539
YBR119W,1286,3079,2853,860,2445
YBR120C,6379,6692,1244,840,2556
YBR121C,205,3099,6089,1055,2345
YBR121C-A,380,-2,-2,-2,-2
YBR122C,2604,5115,3906,657,1474
YBR123C,2417,1424,0,5849,6163
YBR124W,4718,4545,4065,3392,5849
YBR125C,2781,3867,2842,1232,1107
YBR126C,1110,4709,1031,3700,4038
YBR126W-A,388,118,3709,1702,6593
YBR126W-B,387,4065,913,-2,-2
YBR127C,1655,4574,4808,6399,2384
YBR128C,6280,4346,354,4314,2277
YBR129C,1255,1831,2043,2622,3011
YBR130C,3802,31,3862,1567,2026
YBR131C-A,394,3336,4208,4080,1723
YBR131W,2221,4598,5844,848,2311
YBR132C,2705,2100,1743,2173,4644
YBR133C,3772,3452,6578,5142,424
YBR134W,398,2249,3448,396,3477
YBR135W,424,931,6578,1389,6187
YBR136W,550,1570,6315,643,1268
YBR137W,5737,5671,5908,1396,4038
YBR138C,2982,561,2895,400,60
YBR139W,5023,4365,620,6160,386
YBR140C,5839,386,5215,4424,3262
YBR141C,405,547,3625,537,4146
YBR141W-A,404,-2,-2,-2,-2
YBR142W,5174,6200,1567,5954,5434
YBR143C,1128,2124,2220,5593,4455
YBR144C,282,1023,169,324,134
YBR145W,4838,5642,5081,2356,4933
YBR146W,5891,1218,6636,2226,6169
YBR147W,1066,732,2154,5393,3494
YBR148W,5648,295,1269,2429,656
YBR149W,4693,303,4861,2872,2372
YBR150C,4066,1076,5934,2343,3291
YBR151W,1141,2072,5745,5244,6363
YBR152W,6059,871,2446,1545,3849
YBR153W,156,5620,5703,1558,532
YBR154C,3558,6569,2369,2916,3817
YBR155W,3527,6405,4319,4954,3848
YBR156C,6373,3583,2979,424,2515
YBR157C,3425,5210,3698,3875,3200
YBR158W,2122,5179,1867,2915,1389
YBR159W,784,693,3357,4492,3461
YBR160W,6579,6578,398,3459,4313
YBR161W,286,5025,5606,6214,1432
YBR162C,2605,4985,5084,2276,2665
YBR162W-A,165,1823,6701,873,3290
YBR163W,4216,5243,6615,4686,3307
YBR164C,1212,6553,186,1865,1650
YBR165W,1090,1032,1389,3216,1152
YBR166C,1742,715,5442,6518,2592
YBR167C,2396,4230,533,140,36
YBR168W,2923,1550,132,836,6485
YBR169C,1845,5117,4038,5761,326
YBR170C,2418,472,900,4051,3045
YBR171W,6002,4404,6252,4498,1823
YBR172C,3742,4200,3132,5645,1798
YBR173C,2510,2083,5898,1728,2638
YBR174C,440,-2,-2,-2,-2
YBR175W,3681,2887,4097,6299,1541
YBR176W,3171,2822,3511,3646,2988
YBR177C,2180,3762,5865,443,6070
YBR178W,442,2890,-2,-2,-2
YBR179C,4010,3083,5959,1542,4488
YBR180W,1471,3293,2608,4347,5601
YBR181C,298,846,6560,1804,4879
YBR182C,4197,6247,4937,2495,3303
YBR182C-A,2495,3303,325,1619,244
YBR183W,3670,2688,4367,5915,1353
YBR184W,3905,5691,4065,6281,5319
YBR185C,5579,4845,1734,1905,1282
YBR186W,3286,2712,1837,3093,4984
YBR187W,2264,4982,2601,2097,6233
YBR188C,2504,3545,4201,4984,4048
YBR189W,846,298,446,6560,1804
YBR190W,6137,457,750,5647,1134
YBR191W,904,2244,4111,846,298
YBR191W-A,4236,6596,3841,15,4266
YBR192W,4018,5954,4323,4325,2268
YBR193C,2224,5695,2817,1740,1364
YBR194W,365,466,3322,480,1814
YBR195C,6475,4713,3375,4675,5456
YBR196C,45,2624,666,1086,5364
YBR196C-A,4065,493,5123,2704,5139
YBR196C-B,1972,656,-2,-2,-2
YBR197C,6572,4885,6616,3768,531
YBR198C,1186,2208,4706,1461,702
YBR199W,4122,466,6433,5159,1212
YBR200W,4335,48,2693,5424,1856
YBR200W-A,1261,3498,453,4771,4065
YBR201C-A,4065,4664,-2,-2,-2
YBR201W,2418,4310,435,4614,900
YBR202W,6595,4187,3176,87,313
YBR203W,1289,1362,6359,2433,975
YBR204C,3991,5094,5820,3762,3148
YBR205W,2958,477,1554,5837,6577
YBR206W,476,-2,-2,-2,-2
YBR207W,2000,4812,4323,4116,1699
YBR208C,6270,3245,2705,209,917
YBR209W,466,474,461,481,6520
YBR210W,3165,4223,5,2670,4672
YBR211C,1376,2562,6174,6398,3216
YBR212W,5169,938,751,4648,2561
YBR213W,3970,2058,6637,3662,3634
YBR214W,2045,1214,386,1635,5023
YBR215W,129,3637,5774,3375,5329
YBR216C,3251,4605,5943,3735,4629
YBR217W,2945,4923,6310,5476,925
YBR218C,45,4000,3693,5686,849
YBR219C,3290,623,217,1590,4618
YBR220C,3290,623,6252,217,1736
YBR221C,1974,5186,2576,1934,6173
YBR221W-A,464,5123,2704,5139,6303
YBR222C,3188,2304,2120,1732,5707
YBR223C,141,5555,4918,1455,3786
YBR223W-A,495,-2,-2,-2,-2
YBR224W,495,-2,-2,-2,-2
YBR225W,499,2330,2296,4424,3358
YBR226C,498,-2,-2,-2,-2
YBR227C,144,957,3705,5944,53
YBR228W,4958,1455,4220,4340,6178
YBR229C,1272,66,2121,5824,3627
YBR230C,3161,5169,3181,1221,2419
YBR230W-A,2215,530,2326,3098,185
YBR231C,1556,2366,1236,4643,6400
YBR232C,-2,-2,-2,-2,-2
YBR233W,3938,1379,3985,1048,2156
YBR233W-A,3938,1379,3985,1048,2156
YBR234C,800,3675,3560,4490,5506
YBR235W,3886,1038,5498,2694,6458
YBR236C,2227,6393,4610,881,6340
YBR237W,813,4984,5064,5412,3469
YBR238C,809,6347,1932,5378,6165
YBR239C,4000,3349,4387,5056,3153
YBR240C,851,1118,2017,5460,2016
YBR241C,2208,2201,5431,5323,1031
YBR242W,3352,3891,2323,6492,4065
YBR243C,323,2142,6392,6656,4761
YBR244W,6249,5352,5602,4742,4412
YBR245C,2041,4796,4178,2230,1162
YBR246W,4228,4275,3125,3868,200
YBR247C,6435,3327,5066,5000,6381
YBR248C,610,3032,5950,3886,3140
YBR249C,1168,6518,1071,2245,2767
YBR250W,5122,6075,4512,5051,1331
YBR251W,1218,2226,6169,410,3664
YBR252W,5813,4622,3552,2917,5219
YBR253W,1740,2475,4869,2817,5695
YBR254C,4989,1477,3969,5854,1544
YBR255C-A,5487,4631,170,3098,504
YBR255W,3768,542,535,4885,6616
YBR256C,5703,1558,156,1287,417
YBR257W,4230,36,3221,5344,2821
YBR258C,1541,440,4097,86,3681
YBR259W,542,531,533,534,529
YBR260C,3142,5205,6635,3956,4335
YBR261C,4395,1245,3958,1537,404
YBR262C,638,3916,5217,2619,2038
YBR263W,2588,1051,1677,1987,339
YBR264C,1880,4598,4369,1997,2309
YBR265W,1098,5074,2688,3670,1353
YBR266C,535,531,1255,533,534
YBR267W,1140,2944,6251,4091,6472
YBR268W,1474,5507,3664,558,3321
YBR269C,503,1753,979,744,4582
YBR270C,5632,1834,4822,5116,3315
YBR271W,3625,3082,404,3133,5132
YBR272C,3818,5856,776,3017,1463
YBR273C,900,4821,1481,1391,183
YBR274W,399,1837,4187,4788,1268
YBR275C,5339,4580,1000,1119,4092
YBR276C,1841,3857,194,2258,6147
YBR277C,554,3583,1162,2969,595
YBR278W,5385,6648,1162,875,3500
YBR279W,5862,4543,2344,5705,4675
YBR280C,4180,1389,1362,907,5693
YBR281C,5314,4412,2077,4988,1799
YBR282W,1474,4566,3321,1533,5115
YBR283C,1123,1736,1823,5687,6002
YBR284W,1780,5261,1478,3328,5568
YBR285W,5537,60,401,3160,3368
YBR286W,1694,3832,328,5932,5075
YBR287W,559,3884,6400,6159,4218
YBR288C,6359,2646,3279,6428,3499
YBR289W,3441,5492,6038,6172,2715
YBR290W,6338,1868,5682,6004,3699
YBR291C,6019,2371,559,3693,2576
YBR292C,3379,197,191,6146,4869
YBR293W,618,1159,6136,3428,1861
YBR294W,4175,3505,6637,2500,3662
YBR295W,5382,2104,1836,5591,2638
YBR296C,4735,696,5482,3464,2617
YBR296C-A,1152,3286,3685,4065,2108
YBR297W,577,575,2678,2673,2675
YBR298C,577,2678,2674,574,2673
YBR298C-A,578,6033,6034,763,1016
YBR299W,3190,2675,575,2678,574
YBR300C,579,745,576,324,2262
YBR301W,5548,1680,3899,81,3204
YBR302C,4744,2019,5462,2742,1030
YCL001W,3986,5495,3627,165,1128
YCL001W-A,622,683,753,650,3986
YCL001W-B,3986,1128,649,669,630
YCL002C,4065,6077,3531,-2,-2
YCL004W,918,1745,279,2868,6572
YCL005W,6018,2776,2384,6086,6399
YCL005W-A,6018,2776,2384,6086,6399
YCL007C,587,3505,4145,2823,1487
YCL008C,4542,4203,6223,5475,3597
YCL009C,4865,4472,1821,3511,597
YCL010C,1186,2208,6204,1461,2162
YCL011C,5259,2941,855,1450,1179
YCL012C,2745,2744,1761,3833,5906
YCL014W,3586,3165,697,4335,6581
YCL016C,4833,3563,2969,5416,6595
YCL017C,894,2879,1772,6296,6419
YCL018W,2102,4865,1649,5950,4472
YCL019W,1317,1316,5006,5142,4270
YCL020W,89,6477,5006,3304,2638
YCL021W-A,3761,629,3760,2251,4065
YCL022C,603,288,-2,-2,-2
YCL023C,603,1821,645,4472,3654
YCL024W,656,4429,3571,3452,2875
YCL025C,3420,2057,1579,3995,1534
YCL026C-A,4068,256,4072,762,4462
YCL026C-B,3328,762,3738,4843,3410
YCL027W,5515,4579,5004,636,5403
YCL028W,1215,5117,5352,4038,6172
YCL029C,4128,1733,6438,6317,6017
YCL030C,523,3140,5950,1780,3032
YCL031C,3327,6606,3769,1519,522
YCL032W,4480,1860,6534,4335,4197
YCL033C,1763,3737,2593,4126,4211
YCL034W,5832,2764,128,429,5925
YCL035C,2593,4126,4072,6249,6216
YCL036W,5782,729,6447,4849,5524
YCL037C,1919,2216,1502,2543,6061
YCL038C,5218,3820,569,726,6310
YCL039W,1307,2327,3117,3029,4894
YCL040W,2087,1588,4861,463,4573
YCL041C,622,623,4718,-2,-2
YCL042W,582,683,620,621,623
YCL043C,4742,3290,66,3741,4498
YCL044C,4872,6481,2432,1734,1905
YCL045C,3882,4024,2331,3582,3041
YCL046W,5791,4338,5223,625,5874
YCL047C,5247,2840,2080,2374,5896
YCL048W,1598,630,1598,6388,376
YCL048W-A,1598,6388,376,600,5606
YCL049C,628,649,583,1165,1598
YCL050C,1606,3505,5618,3543,1670
YCL051W,1993,5283,4196,6127,633
YCL052C,3508,252,2239,3840,3351
YCL054W,5066,1869,2856,802,6375
YCL054W-A,-2,-2,-2,-2,-2
YCL055W,2290,607,1570,2410,6189
YCL056C,5941,6271,5707,3450,759
YCL057C-A,2619,538,2038,5217,3916
YCL057W,1500,720,3867,3162,2376
YCL058C,641,5392,4151,1548,1962
YCL058W-A,640,1962,2397,2398,3609
YCL059C,3327,5066,3769,522,4278
YCL061C,4801,5396,399,6595,4187
YCL063W,1637,6079,4927,2883,424
YCL064C,597,4181,715,4865,590
YCL065W,647,700,701,4494,3853
YCL066W,648,6350,3854,699,2185
YCL067C,756,647,755,4795,700
YCL068C,757,583,669,702,630
YCL069W,4844,5055,4009,582,6136
YCL073C,650,1344,4008,5055,6136
YCL074W,-2,-2,-2,-2,-2
YCL075W,-2,-2,-2,-2,-2
YCL076W,5957,-2,-2,-2,-2
YCR001W,3131,6159,4065,681,1526
YCR002C,4429,2875,3571,2429,1269
YCR003W,4566,1533,5115,5408,4626
YCR004C,1064,302,4093,759,4743
YCR005C,3753,4417,849,5235,5468
YCR006C,4065,4861,3503,3309,2575
YCR007C,679,3228,2559,674,4148
YCR008W,4617,3391,3951,3973,1189
YCR009C,5925,1457,4960,5004,6414
YCR010C,62,3892,5081,806,4497
YCR011C,5628,4052,5912,6089,5485
YCR012W,3826,463,1086,2639,3309
YCR013C,666,3827,6233,198,2815
YCR014C,5735,4374,344,5060,3785
YCR015C,649,583,1544,630,509
YCR016W,3151,150,4764,634,2123
YCR017C,704,2121,4043,238,3055
YCR018C,1124,5666,1067,4920,649
YCR018C-A,5666,1067,4920,1885,4798
YCR019W,1846,675,3228,679,2559
YCR020C,1685,6509,3517,2761,6590
YCR020C-A,1685,6509,3517,2761,6590
YCR020W-B,2814,1359,4847,126,2070
YCR021C,3316,326,2517,1214,1310
YCR022C,1233,3228,2559,674,713
YCR023C,1144,5689,684,5894,681
YCR024C,209,5912,5070,6197,5585
YCR024C-A,1641,2101,1885,683,196
YCR024C-B,622,582,4196,753,682
YCR025C,685,680,681,690,4065
YCR026C,684,2328,5600,2072,2241
YCR027C,2964,3878,5116,3561,2544
