,rank,weighted_rank
YAR007C,605,0.474466201738929
YAR008W,103,0.39354888869451976
YAR009C,73,0.3539704087649293
YAR010C,93,0.28769629844898664
YAR014C,258,0.37383895523430405
YAR015W,532,0.3158214605583027
YAR018C,281,0.27640451839740093
YAR019C,437,0.34277526954872495
YAR019W-A,1,0.7887887887887888
YAR020C,106,0.43748465446578655
YAR023C,31,0.2984597500726533
YAR027W,48,0.3669294294294294
YAR028W,30,0.42148815482148816
YAR029W,29,0.3962928445687066
YAR030C,4,0.6231231231231231
YAR031W,67,0.35723783484977517
YAR033W,52,0.34432509432509434
YAR035C-A,2,0.38238238238238237
YAR035W,188,0.3507070900687922
YAR042W,839,0.2728043896101107
YAR047C,6,0.6262929596262929
YAR050W,209,0.30071698492751125
YAR053W,39,0.27009060342393676
YAR060C,2,0.18768768768768768
YAR064W,77,0.40991640991640993
YAR066W,2,0.9024024024024024
YAR068W,104,0.40965003465003463
YAR070C,37,0.5214944674404134
YAR071W,166,0.36403873753271343
YAR073W,552,0.2775819297558428
YAR075W,450,0.25323100878656435
YBL001C,114,0.27555625801239836
YBL002W,715,0.402991802991803
YBL003C,738,0.40884651589258636
YBL004W,382,0.5427678987888412
YBL005W,256,0.3699754441941942
YBL005W-A,60,0.24668001334668002
YBL005W-B,24,0.3076826826826827
YBL006C,93,0.3909931436813157
YBL006W-A,1,0.9019019019019019
YBL007C,383,0.3617141946123669
YBL008W,354,0.3283085345232238
YBL008W-A,4,0.31256256256256254
YBL009W,222,0.29148517887256625
YBL010C,14,0.5112255112255112
YBL011W,300,0.33571571571571573
YBL012C,27,0.5607830052274497
YBL013W,546,0.29348762682096013
YBL014C,176,0.339020839020839
YBL015W,363,0.3394193091162788
YBL016W,766,0.370073729081562
YBL017C,322,0.34519612780482345
YBL018C,100,0.5271571571571572
YBL019W,714,0.2934222738144307
YBL020W,85,0.36749690867337925
YBL021C,616,0.34706134706134706
YBL022C,685,0.3121077281661223
YBL023C,561,0.4573111435856534
YBL024W,791,0.3953612272196343
YBL025W,111,0.35309183056930804
YBL026W,468,0.4165297776408888
YBL027W,530,0.6202768806542391
YBL028C,334,0.5939712167257077
YBL029C-A,102,0.38619011168030776
YBL029W,46,0.5022631326979153
YBL030C,577,0.32079740052010414
YBL031W,66,0.43460126793460124
YBL032W,515,0.29292593564438224
YBL033C,312,0.3198005698005698
YBL034C,213,0.33639273075892795
YBL035C,346,0.45540048719239473
YBL036C,363,0.2252197100681949
YBL037W,405,0.3481901654741161
YBL038W,610,0.4636423308554456
YBL039C,1059,0.37953534270814726
YBL039C-A,1,0.8798798798798799
YBL039W-B,66,0.3572815239481906
YBL040C,355,0.39249390235305726
YBL041W,626,0.37377313415652075
YBL042C,156,0.33659300325966995
YBL043W,106,0.35298506053223033
YBL044W,45,0.5222333444555667
YBL045C,518,0.4043077826861611
YBL046W,110,0.44645554645554647
YBL047C,356,0.36064997581851516
YBL048W,56,0.3351029601029601
YBL049W,268,0.3521207774939118
YBL050W,312,0.377293960627294
YBL051C,364,0.2829010329010329
YBL052C,366,0.36315277025659537
YBL053W,1,0.1961961961961962
YBL054W,395,0.40429543467518153
YBL055C,373,0.228182606198692
YBL056W,342,0.30444772257637753
YBL057C,203,0.2915723605378778
YBL058W,374,0.3354290118996001
YBL059C-A,118,0.3931813169101305
YBL059W,92,0.36005570788179486
YBL060W,175,0.3062834262834263
YBL061C,268,0.3022686865970448
YBL062W,3,0.20053386720053387
YBL063W,501,0.4043384702067337
YBL064C,714,0.3133063035023819
YBL065W,42,0.3155774822441489
YBL066C,131,0.3139246116345353
YBL067C,207,0.3220370128582689
YBL068W,621,0.27478847607672086
YBL068W-A,119,0.2473734238440121
YBL069W,233,0.26924778856109327
YBL070C,29,0.3384418901660281
YBL071C,61,0.41387288928272536
YBL071C-B,4,0.3058058058058058
YBL071W-A,130,0.42525602525602524
YBL072C,779,0.5347388466772293
YBL073W,3,0.43743743743743746
YBL074C,249,0.379897970259416
YBL075C,823,0.28517581980522444
YBL076C,851,0.3372444124500529
YBL077W,26,0.3338723338723339
YBL078C,754,0.3525329042570422
YBL079W,435,0.32770701736218977
YBL080C,439,0.28905671046901116
YBL081W,90,0.3336892448003559
YBL082C,233,0.418061838662697
YBL083C,50,0.5048648648648648
YBL084C,637,0.32831575688718545
YBL085W,177,0.3769984673939476
YBL086C,51,0.3453846002865611
YBL087C,643,0.5670694022171472
YBL088C,636,0.40942514841885913
YBL089W,190,0.31213318581739635
YBL090W,184,0.5662183923053489
YBL091C,687,0.2653512318723381
YBL091C-A,98,0.5306020306020306
YBL092W,574,0.602445651226139
YBL093C,183,0.4824551327283568
YBL094C,26,0.4881419881419881
YBL095W,83,0.3201152960189105
YBL096C,2,0.476976976976977
YBL097W,364,0.39905839905839907
YBL098W,399,0.3003404406913179
YBL099W,1018,0.41455600984088214
YBL100C,2,0.5480480480480481
YBL100W-A,66,0.2387842387842388
YBL100W-B,14,0.2107822107822108
YBL100W-C,6,0.35735735735735735
YBL101C,163,0.356122994159804
YBL102W,183,0.3391643009129348
YBL103C,400,0.319456956956957
YBL104C,190,0.3483904957589168
YBL105C,839,0.37398184835610343
YBL106C,139,0.33192184990746143
YBL107C,52,0.38806113806113807
YBL107W-A,1,0.5525525525525525
YBL108W,21,0.3718003718003718
YBL109W,66,0.464964964964965
YBL111C,108,0.5164979794609424
YBL113C,87,0.5079907493700597
YBL113W-A,5,0.7523523523523523
YBR001C,388,0.3222294459407862
YBR002C,372,0.2866952974479856
YBR003W,460,0.2912978195586891
YBR004C,204,0.4141592572965122
YBR005W,102,0.350684017350684
YBR006W,476,0.32915057915057916
YBR007C,29,0.37271754513133826
YBR008C,191,0.36560644414047555
YBR009C,955,0.37490684401679164
YBR010W,1163,0.39314981361413004
YBR011C,721,0.2963587720869274
YBR012C,2,0.487987987987988
YBR012W-A,14,0.2107107107107107
YBR012W-B,55,0.26371826371826373
YBR013C,40,0.460985985985986
YBR014C,220,0.2775411775411775
YBR015C,193,0.34449994035486264
YBR016W,120,0.4022605939272606
YBR017C,439,0.35720002462599276
YBR018C,270,0.309683757831906
YBR019C,1241,0.3017989786724678
YBR020W,1008,0.31477807172251615
YBR021W,262,0.3792189135700586
YBR022W,239,0.2820477381146837
YBR023C,574,0.312125714564739
YBR024W,296,0.3142872602332062
YBR025C,627,0.2866119708224971
YBR026C,354,0.3163672146722994
YBR027C,3,0.5452118785452119
YBR028C,303,0.27109287505327107
YBR029C,486,0.3027904447657534
YBR030W,80,0.40127627627627627
YBR031W,864,0.5000764653542431
YBR032W,7,0.5056485056485056
YBR033W,52,0.3021290521290521
YBR034C,1130,0.35305925394420967
YBR035C,327,0.3047022557725922
YBR036C,206,0.36147312360904593
YBR037C,285,0.31718385051718384
YBR038W,422,0.28784234471438264
YBR039W,719,0.3665612761579382
YBR040W,150,0.33015682349015685
YBR041W,238,0.4830124241888948
YBR042C,257,0.2943215589129986
YBR043C,138,0.3378160769465117
YBR044C,663,0.2859480898696585
YBR045C,120,0.4744160827494161
YBR046C,278,0.2834777223266432
YBR047W,113,0.3444683621674772
YBR048W,743,0.5732623606109474
YBR049C,1013,0.2845955531049312
YBR050C,179,0.40000335531061787
YBR051W,1,0.8008008008008008
YBR052C,250,0.2731251251251251
YBR053C,291,0.26356941133573436
YBR054W,170,0.30911499735029146
YBR055C,387,0.4211575917002274
YBR056C-B,9,0.3592481370259148
YBR056W,262,0.33041056323499074
YBR056W-A,130,0.3666512666512666
YBR057C,96,0.32320862529195865
YBR058C,269,0.3609929632234465
YBR058C-A,117,0.36154102820769485
YBR059C,331,0.2746643924891659
YBR060C,417,0.4132621830463557
YBR061C,562,0.367141162514828
YBR062C,305,0.2950393015966786
YBR063C,5,0.43123123123123125
YBR064W,3,0.48348348348348347
YBR065C,254,0.4471439943880889
YBR066C,325,0.2678894278894279
YBR067C,49,0.337296480153623
YBR068C,191,0.31600710658302283
YBR069C,211,0.2964196423912064
YBR070C,128,0.38687906656656657
YBR071W,31,0.5128031257063516
YBR072C-A,28,0.34984984984984985
YBR072W,689,0.3225954546709264
YBR073W,510,0.31838897721250664
YBR074W,181,0.32381552823541776
YBR076C-A,1,0.970970970970971
YBR076W,77,0.3604383604383604
YBR077C,142,0.34005836822738233
YBR078W,267,0.29706860418470904
YBR079C,750,0.3836316316316316
YBR080C,596,0.3453083956439661
YBR081C,614,0.313182889730121
YBR082C,702,0.3769638584453399
YBR083W,398,0.3788185170094718
YBR084C-A,577,0.5598961179550435
YBR084W,552,0.30284995140067605
YBR085C-A,139,0.3034617351164114
YBR085W,470,0.29552531254658915
YBR086C,184,0.34526918222570396
YBR087W,565,0.41569534135905817
YBR088C,979,0.41067114100821966
YBR089C-A,327,0.3170142619683904
YBR089W,3,0.3730397063730397
YBR090C,3,0.3063063063063063
YBR091C,393,0.35282101439862257
YBR092C,244,0.2965014194522391
YBR093C,199,0.3438664795448715
YBR094W,165,0.3370036703370037
YBR095C,198,0.365436143213921
YBR096W,16,0.2608233233233233
YBR097W,304,0.37014316948527476
YBR098W,191,0.41544686047303847
YBR099C,142,0.33931114212804353
YBR101C,595,0.4322793381616911
YBR102C,236,0.3585365026042992
YBR103W,558,0.3122531133283821
YBR104W,215,0.22571874199781178
YBR105C,143,0.3883953883953884
YBR106W,355,0.2725006696837683
YBR107C,178,0.5194689071093566
YBR108W,103,0.43574642603768815
YBR109C,1133,0.3580862415813872
YBR110W,256,0.33082692067067065
YBR111C,424,0.29455870965304926
YBR111W-A,174,0.4169456813134974
YBR112C,856,0.3325100801736316
YBR113W,15,0.7709042375709042
YBR114W,495,0.34060120726787396
YBR115C,606,0.3218532063416552
YBR116C,159,0.35322744127775574
YBR117C,758,0.34182599486029563
YBR118W,779,0.41147566051288775
YBR119W,557,0.32567396840287327
YBR120C,186,0.34024346927572735
YBR121C,664,0.31406255653243603
YBR121C-A,1,0.924924924924925
YBR122C,161,0.5496428105123757
YBR123C,224,0.36546367796367796
YBR124W,23,0.29559994777386084
YBR125C,300,0.261675008341675
YBR126C,461,0.4194259335257166
YBR126W-A,73,0.3337172789227584
YBR126W-B,3,0.5955955955955956
YBR127C,574,0.3166319629734264
YBR128C,118,0.46190258054664834
YBR129C,52,0.3104065604065604
YBR130C,115,0.3774905340122731
YBR131C-A,35,0.3512083512083512
YBR131W,152,0.4504636215162531
YBR132C,153,0.2718470104091019
YBR133C,606,0.32473727853265805
YBR134W,42,0.299704466371133
YBR135W,387,0.4725345500539299
YBR136W,955,0.4095697792032871
YBR137W,65,0.4173096173096173
YBR138C,59,0.4623267335131742
YBR139W,357,0.3175977097545725
YBR140C,431,0.3046782281121028
YBR141C,262,0.37486341303135196
YBR141W-A,1,0.970970970970971
YBR142W,826,0.42531756938536597
YBR143C,803,0.49576600261531767
YBR144C,36,0.5308363919475031
YBR145W,175,0.3933247533247533
YBR146W,642,0.4446767639914057
YBR147W,169,0.286979286979287
YBR148W,67,0.4308636995204159
YBR149W,301,0.3050957934678865
YBR150C,64,0.35612174674674674
YBR151W,91,0.40845240845240843
YBR152W,112,0.6216752466752467
YBR153W,441,0.25507593761562014
YBR154C,833,0.4398191709116079
YBR155W,761,0.3525720201147271
YBR156C,175,0.3968425568425568
YBR157C,117,0.37379259601481823
YBR158W,343,0.3193660132435643
YBR159W,583,0.2904568376266489
YBR160W,1401,0.4594530290461768
YBR161W,180,0.3252585919252586
YBR162C,185,0.31989286583881177
YBR162W-A,61,0.35253286072958206
YBR163W,51,0.40010598834128247
YBR164C,617,0.3078264650387827
YBR165W,16,0.393018018018018
YBR166C,396,0.3335026946138057
YBR167C,105,0.4990228323561657
YBR168W,91,0.3662123662123662
YBR169C,876,0.31730474767004446
YBR170C,352,0.4345453407953408
YBR171W,248,0.3253818334463496
YBR172C,292,0.30505162696943516
YBR173C,293,0.3678114975043303
YBR174C,1,0.9459459459459459
YBR175W,462,0.3122429789096456
YBR176W,381,0.26686529048733776
YBR177C,182,0.30591030591030594
YBR178W,2,0.5380380380380381
YBR179C,533,0.31123618928496977
YBR180W,135,0.37547176806436067
YBR181C,754,0.588554071312692
YBR182C,305,0.3039695433138056
YBR182C-A,24,0.3722472472472472
YBR183W,215,0.32440812905929184
YBR184W,97,0.32912293737036
YBR185C,197,0.34493884747691855
YBR186W,418,0.36374173216278477
YBR187W,165,0.29780083113416445
YBR188C,99,0.5272343050120828
YBR189W,890,0.5178189425380436
YBR190W,6,0.5180180180180181
YBR191W,518,0.6036770361094685
YBR191W-A,57,0.4077059515656007
YBR192W,267,0.3518387301158837
YBR193C,214,0.4203689670979391
YBR194W,129,0.29698690939001016
YBR195C,445,0.3234762852740381
YBR196C,1075,0.3548162115603976
YBR196C-A,50,0.25787787787787786
YBR196C-B,2,0.2057057057057057
YBR197C,49,0.5095503666932238
YBR198C,613,0.3382697542567037
YBR199W,116,0.325955265610438
YBR200W,338,0.4008416700724393
YBR200W-A,32,0.3541666666666667
YBR201C-A,2,0.37737737737737737
YBR201W,317,0.3789278237227764
YBR202W,549,0.44202307954584824
YBR203W,99,0.4057694057694058
YBR204C,199,0.30784553397618725
YBR205W,125,0.32852852852852854
YBR206W,1,0.934934934934935
YBR207W,230,0.3193497845671759
YBR208C,940,0.3014258939790855
YBR209W,33,0.3759820426487093
YBR210W,137,0.3279483863425469
YBR211C,185,0.46896626356085813
YBR212W,592,0.2543303438573709
YBR213W,253,0.2859064598195033
YBR214W,690,0.284429356893125
YBR215W,102,0.33683683683683685
YBR216C,72,0.31880491602713823
YBR217W,227,0.4129548050252896
YBR218C,431,0.37241882253483183
YBR219C,169,0.32205578359424514
YBR220C,182,0.3067298067298067
YBR221C,636,0.37998375734224793
YBR221W-A,49,0.24843210557496273
YBR222C,419,0.27177535530757485
YBR223C,217,0.39447742673549124
YBR223W-A,1,0.9219219219219219
YBR224W,1,0.9219219219219219
YBR225W,17,0.3749631984926103
YBR226C,1,0.955955955955956
YBR227C,631,0.31297065686923053
YBR228W,163,0.4507452237513587
YBR229C,408,0.3828509882431451
YBR230C,328,0.35336556068263386
YBR230W-A,92,0.36766113940026984
YBR231C,251,0.3410940821299387
YBR233W,255,0.2906867651965691
YBR233W-A,104,0.6580907830907831
YBR234C,205,0.3574647818550258
YBR235W,90,0.3335891447002558
YBR236C,177,0.43065664534591086
YBR237W,548,0.315709870454396
YBR238C,144,0.2725642308975642
YBR239C,58,0.3082737910324117
YBR240C,127,0.3378890701725347
YBR241C,264,0.24566232899566232
YBR242W,123,0.23213457359798823
YBR243C,510,0.2865571453806748
YBR244W,477,0.29685870356729893
YBR245C,873,0.2899061719222086
YBR246W,85,0.37575222281104637
YBR247C,713,0.5422505254202309
YBR248C,492,0.30586277334244816
YBR249C,390,0.29919406586073255
YBR250W,62,0.3773935225548129
YBR251W,820,0.48338460411631146
YBR252W,853,0.3018950955644977
YBR253W,159,0.5263691364320295
YBR254C,189,0.36254773291810327
YBR255C-A,73,0.4083809837234495
YBR255W,87,0.3178120649385017
YBR256C,389,0.2676789900440286
YBR257W,239,0.388983125384799
YBR258C,60,0.4638138138138138
YBR259W,8,0.6825575575575575
YBR260C,192,0.3455173923923924
YBR261C,212,0.3616210550172814
YBR262C,124,0.41644063418256966
YBR263W,799,0.30994448766664034
YBR264C,284,0.2994402853557783
YBR265W,158,0.38155877396383725
YBR266C,22,0.4705614705614706
YBR267W,580,0.4636843740292016
YBR268W,285,0.41826739019721476
YBR269C,161,0.3092906571167441
YBR270C,65,0.36895356895356896
YBR271W,328,0.37376400791034936
YBR272C,106,0.5087918106786031
YBR273C,133,0.3399715504978663
YBR274W,472,0.44974847729085016
YBR275C,157,0.3793156213538379
YBR276C,232,0.2560966138552345
YBR277C,30,0.3199199199199199
YBR278W,250,0.3202002002002002
YBR279W,200,0.38697697697697697
YBR280C,223,0.3643374316020056
YBR281C,293,0.25981271373762843
YBR282W,239,0.518572966271711
YBR283C,636,0.4577281684199923
YBR284W,187,0.2992725345666522
YBR285W,117,0.28627773072217516
YBR286W,177,0.30343903225259156
YBR287W,77,0.2306982306982307
YBR288C,282,0.33330493614181556
YBR289W,424,0.33692654919070014
YBR290W,217,0.34124908318456704
YBR291C,222,0.299840380921462
YBR292C,29,0.33878706292499394
YBR293W,328,0.2532318904270124
YBR294W,154,0.26905476905476905
YBR295W,341,0.29984529984529984
YBR296C,577,0.3006229799990632
YBR296C-A,25,0.31827827827827826
YBR297W,175,0.3141312741312741
YBR298C,473,0.2374742607300747
YBR298C-A,25,0.5125125125125125
YBR299W,218,0.29074946506139165
YBR300C,67,0.4488966578518817
YBR301W,148,0.4186213240267294
YBR302C,31,0.4385353095030514
YCL001W,307,0.341941289824026
YCL001W-A,170,0.2888947771300712
YCL001W-B,167,0.3071574568580557
YCL002C,3,0.3570236903570237
YCL004W,476,0.2729136699724935
YCL005W,78,0.3443058443058443
YCL005W-A,171,0.4220009483167378
YCL007C,10,0.34464464464464467
YCL008C,390,0.3616051949385283
YCL009C,388,0.30681196660578103
YCL010C,364,0.3537961037961038
YCL011C,587,0.2688770542262876
YCL012C,7,0.5617045617045617
YCL014W,187,0.3618913030677737
YCL016C,402,0.37231759122306385
YCL017C,572,0.3023110523110523
YCL018W,1096,0.3044577424139468
YCL019W,17,0.2821645174586351
YCL020W,61,0.33037955988775664
YCL021W-A,15,0.46740073406740074
YCL022C,2,0.493993993993994
YCL023C,10,0.4844844844844845
YCL024W,342,0.2692019504885002
YCL025C,182,0.289003289003289
YCL026C-A,102,0.3392902706628197
YCL026C-B,108,0.34468727987246506
YCL027W,178,0.42034731360574057
YCL028W,211,0.398251331900621
YCL029C,318,0.44139422441309234
YCL030C,1175,0.3343718186271378
YCL031C,414,0.5521390956173565
YCL032W,183,0.37199494576543757
YCL033C,465,0.27568859181762406
YCL034W,83,0.4219641328075063
YCL035C,304,0.3081370844528739
YCL036W,186,0.2867706416093513
YCL037C,538,0.29629443569964015
YCL038C,161,0.3413910805215153
YCL039W,192,0.3089182932932933
YCL040W,624,0.40589948923282254
YCL041C,3,0.6296296296296297
YCL042W,67,0.40031075851971376
YCL043C,850,0.3230442206912795
YCL044C,103,0.36884457272806787
YCL045C,170,0.34609315197550494
YCL046W,7,0.8455598455598455
YCL047C,133,0.4086567770778297
YCL048W,84,0.30212355212355213
YCL048W-A,79,0.3608165127152469
YCL049C,80,0.3702077077077077
YCL050C,80,0.38534784784784787
YCL051W,81,0.38497757016275536
YCL052C,87,0.44890867879373625
YCL054W,730,0.5272368258669629
YCL055W,200,0.3285885885885886
YCL056C,60,0.41886886886886887
YCL057C-A,210,0.3783974450641117
YCL057W,302,0.2660806501866105
YCL058C,107,0.3167747186438775
YCL058W-A,56,0.4258008008008008
YCL059C,670,0.5126828320858171
YCL061C,329,0.44613914826680784
YCL063W,112,0.394456956956957
YCL064C,402,0.34037769112395977
YCL065W,5,0.45305305305305305
YCL066W,99,0.3923620590287257
YCL067C,173,0.34063543312098227
YCL068C,99,0.3276913276913277
YCL069W,335,0.2484574126365171
YCL073C,373,0.2473975315798372
YCL076W,1,0.1961961961961962
YCR001W,142,0.21897249362038093
YCR002C,310,0.31833123446026673
YCR003W,578,0.4380158705418221
YCR004C,254,0.26058341806373303
YCR005C,759,0.3333663043807971
YCR006C,5,0.34734734734734735
YCR007C,62,0.4010623526752559
YCR008W,379,0.28324630699300885
YCR009C,456,0.3295510422703405
YCR010C,180,0.33828272717161606
YCR011C,343,0.2934829873605384
YCR012W,1641,0.35742506674864993
YCR013C,73,0.41821273328122643
YCR014C,201,0.34003655396690224
YCR015C,59,0.3699801496411666
YCR016W,304,0.42905405405405406
YCR017C,218,0.3426362141958472
YCR018C,276,0.23971797884841364
YCR018C-A,6,0.6823490156823491
YCR019W,279,0.2747550417801314
YCR020C,226,0.29468849380353807
YCR020C-A,235,0.33065831789236044
YCR020W-B,127,0.38145231846019245
YCR021C,260,0.3032032032032032
YCR022C,31,0.5900416545577836
YCR023C,115,0.334151542847195
YCR024C,353,0.32778954591985754
YCR024C-A,216,0.22599451303155008
YCR024C-B,50,0.39183183183183184
YCR025C,12,0.4512012012012012
YCR026C,158,0.3376794516035022
YCR027C,465,0.3153153153153153
YCR028C,147,0.31868603297174725
YCR028C-A,95,0.34117275169906747
YCR030C,73,0.41494919577111355
YCR031C,790,0.5744592693959782
YCR032W,286,0.3244993244993245
YCR033W,411,0.3455523650170852
YCR034W,338,0.2834994758071681
YCR035C,283,0.3117286898205626
YCR036W,411,0.3325904980406197
YCR037C,212,0.28191398946115925
YCR038C,197,0.36640701615320903
YCR038W-A,1,0.7897897897897898
YCR039C,149,0.3575320286729683
YCR040W,104,0.36194848694848697
YCR041W,8,0.3936436436436436
YCR042C,276,0.41879923401662533
YCR043C,62,0.3865155478058704
YCR044C,230,0.30930930930930933
YCR045C,257,0.29667021106709823
YCR045W-A,1,0.970970970970971
YCR046C,631,0.4331970639419134
YCR047C,625,0.4003075075075075
YCR047W-A,29,0.3635014324669497
YCR048W,341,0.3481369932982836
YCR049C,1,0.17117117117117117
YCR050C,5,0.2004004004004004
YCR051W,534,0.24161239891576972
YCR052W,252,0.3650992262103373
YCR053W,643,0.30125615506641945
YCR054C,73,0.26847395340546026
YCR057C,689,0.5568020851039719
YCR059C,163,0.276294699607583
YCR060W,446,0.26997849867805024
YCR061W,85,0.27486309839251016
YCR063W,306,0.44425471222856844
YCR064C,1,0.933933933933934
YCR065W,506,0.28385302298345777
YCR066W,383,0.43667427218341054
YCR067C,134,0.3365305604111574
YCR068W,211,0.42556774784262935
YCR069W,373,0.2555558239204352
YCR071C,231,0.5412165412165412
YCR072C,626,0.5580180819797433
YCR073C,177,0.3391357459154069
YCR073W-A,327,0.30015642553868854
YCR075C,125,0.3507827827827828
YCR075W-A,51,0.42193173565722586
YCR076C,48,0.32482482482482483
YCR077C,319,0.46726350174626036
YCR079W,370,0.26982658334009685
YCR081C-A,1,0.7877877877877878
YCR081W,261,0.39718645848914047
YCR082W,68,0.5037831949596655
YCR083W,567,0.269931306968344
YCR084C,646,0.3490657840503042
YCR085W,1,0.6306306306306306
YCR086W,200,0.39537537537537537
YCR087C-A,496,0.4697984274597178
YCR087W,27,0.431950468987506
YCR088W,287,0.3940351501327111
YCR089W,158,0.33218028154737017
YCR090C,75,0.30646646646646647
YCR091W,189,0.3211518396703582
YCR092C,334,0.38357219494944045
YCR093W,563,0.3459605253566177
YCR094W,235,0.41574340297744555
YCR095C,88,0.32457457457457456
YCR095W-A,9,0.26003781559337114
YCR096C,101,0.3438388883933438
YCR097W,139,0.362002290059844
YCR097W-A,13,0.44082544082544084
YCR098C,148,0.34314043773503233
YCR099C,112,0.2555055055055055
YCR100C,109,0.23880761495440395
YCR101C,148,0.3343613884154425
YCR102C,161,0.3118708770882684
YCR102W-A,26,0.3861168861168861
YCR104W,138,0.4437118277697988
YCR105W,233,0.33883669076802125
YCR106W,164,0.35168094924192483
YCR107W,141,0.29291703050568296
YCR108C,25,0.5955955955955956
YDL001W,37,0.24611097584070557
YDL002C,322,0.3390564477520999
YDL003W,553,0.3602499425284235
YDL004W,610,0.36973695006481894
YDL005C,176,0.3967774592774593
YDL006W,571,0.335808663304285
YDL007C-A,13,0.35458535458535456
YDL007W,688,0.3514983006262076
YDL008W,313,0.37671857160675054
YDL009C,15,0.4535201868535202
YDL010W,191,0.29239186830809866
YDL011C,29,0.45676711193952574
YDL012C,129,0.3449961589496473
YDL013W,310,0.42880622558041914
YDL014W,1096,0.5129700868751964
YDL015C,314,0.296675656548268
YDL016C,34,0.28908320084790673
YDL017W,471,0.38670092597905764
YDL018C,95,0.3077182445603498
YDL019C,241,0.302256613459933
YDL020C,489,0.34308951077867234
YDL021W,353,0.3345356688132892
YDL022C-A,2,0.9514514514514515
YDL022W,642,0.30404547850030716
YDL023C,8,0.6746746746746747
YDL024C,150,0.318692025358692
YDL025C,254,0.28730305108257864
YDL025W-A,1,0.9209209209209209
YDL026W,18,0.5324769213658103
YDL027C,45,0.4077188299410522
YDL028C,449,0.46315357673932284
